19306,1,0,36000
56,1,6,36000
19022,1,247,36000
1091,1,372,10800
16307,1,654,36000
322,31,1145,64800
72,8,1936,900
68,8,1945,900
87,16,1959,900
88,16,1972,900
77,8,2031,900
368,1,2926,3600
1268,1,3021,10800
232,1,3058,3600
1580,4,3188,14400
231,1,3376,3600
229,1,3529,3600
231,1,3609,3600
231,1,3698,3600
149,10,3762,7200
238,1,3805,3600
232,1,3883,3600
125,10,4003,7200
123,10,4494,7200
122,10,4519,7200
2133,1,4563,10800
131,10,4734,7200
31676,16,5055,46800
171,10,5092,7200
157,4,5106,900
137,4,5118,900
144,4,5119,900
57,4,6101,300
944,8,6111,900
765,4,6147,720
85,4,6325,21600
213,1,6408,3600
4024,1,7789,10800
1615,20,7952,1500
30041,64,8156,54000
221,1,8453,10800
1660,1,8677,10800
21645,4,9356,21600
19943,10,9356,50400
86,8,10339,900
72,8,10350,900
720,16,12028,3600
17571,50,12239,43200
82,8,12244,14400
2057,1,12797,43200
1710,1,12995,43200
54,1,13014,43200
1698,1,13037,43200
17096,32,13367,36000
4817,1,14833,10800
17268,1,22252,64800
17171,1,22285,64800
17118,1,22321,64800
207,18,23116,2400
974,24,23157,2400
746,32,23201,2400
1236,34,23250,2400
559,25,23400,1800
469,33,23451,1800
652,35,23482,1800
690,37,23510,1800
1288,36,23590,2400
18033,1,23975,36000
18289,1,24082,36000
179,16,24453,64800
17204,1,25245,64800
62,4,26605,900
66,4,26608,900
62,4,26610,900
59,4,26612,900
60,4,26614,900
53,1,26650,900
54,1,26652,900
53,1,26654,900
51,1,26657,900
56,1,26659,900
62,8,26690,900
70,8,26692,900
67,8,26695,900
64,8,26698,900
65,8,26700,900
65,1,26987,900
62,1,26990,900
60,1,26992,900
62,1,26994,900
64,1,26996,900
74,4,27268,900
71,4,27270,900
65,4,27272,900
60,4,27274,900
65,4,27276,900
120,16,27428,900
80,16,27430,900
81,16,27433,900
76,16,27435,900
74,16,27437,900
69,2,27674,900
65,2,27676,900
65,2,27678,900
58,2,27680,900
63,2,27683,900
391,8,31366,64800
232,128,31777,64800
91,16,32674,900
89,16,32676,900
103,16,32679,900
97,16,32681,900
109,16,32683,900
97,8,32700,900
87,8,32702,900
97,8,32705,900
97,8,32707,900
100,8,32709,900
102,4,32717,900
87,4,32719,900
83,4,32724,900
81,4,32729,900
80,4,32731,900
80,2,32738,900
75,2,32740,900
77,2,32742,900
86,2,32745,900
84,2,32747,900
49,1,32753,900
50,1,32755,900
47,1,32757,900
47,1,32759,900
43,1,32762,900
49,1,32764,900
84,8,33429,900
89,8,33432,900
86,8,33434,900
91,8,33436,900
88,8,33438,900
94,4,33443,900
87,4,33448,900
95,4,33454,900
93,4,33456,900
90,4,33458,900
104,2,33463,900
107,2,33465,900
104,2,33468,900
105,2,33470,900
106,2,33473,900
146,1,33478,900
145,1,33481,900
149,1,33483,900
148,1,33485,900
139,1,33488,900
141,4,37588,64800
138,4,37649,64800
2761,2,52335,7200
837,8,52355,10800
3100,4,55415,3600
1845,9,56965,1800
947,31,57173,900
329,76,57227,900
545,4,57989,1140
530,4,58000,1140
13998,20,58506,14400
73,2,58980,3600
5418,1,59415,10800
50,32,59679,10800
746,24,59700,10800
456,7,59878,1800
417,7,59890,1800
93,22,59956,10800
106,38,59967,10800
814,12,60647,7200
968,14,60648,10800
1061,16,60649,10800
892,20,60650,10800
938,22,60651,10800
950,24,60652,10800
766,28,60653,10800
101,30,60654,10800
108,32,60655,10800
748,36,60656,10800
838,38,60657,10800
785,40,60658,10800
45588,4,61537,64800
3647,4,61752,3600
7305,8,61974,7200
60964,1,62662,64800
55,1,62668,36000
45,1,62728,36000
14523,64,63103,27000
24330,1,63156,36000
26419,1,63163,36000
8784,1,63744,10800
46,1,63906,14400
43,1,63935,9000
41,1,64079,27000
38149,1,64172,64800
99,1,64320,300
43,1,64373,9000
39,1,64431,16200
41,1,64503,27000
44,1,64641,9000
40,1,64842,14400
43,1,64912,28800
40,1,65028,9000
44,1,65089,16200
41,1,65145,19800
41,1,66418,9000
43,1,66520,9000
41,1,66570,12600
45,1,66736,9000
43,1,66797,12600
24641,4,69742,64800
43161,4,69906,64800
45,1,71884,64800
116,64,72010,7200
33075,1,73071,64800
33046,1,73087,64800
30703,1,73105,64800
28735,1,73121,64800
15422,1,73783,21600
15479,1,73865,21600
23408,1,74253,64800
20958,1,74269,64800
20226,1,74284,64800
18741,1,74298,64800
10841,1,74333,10800
17398,1,75962,64800
16337,1,75982,64800
13590,1,75998,64800
258,10,76031,600
189,64,79377,7200
64848,9,79759,64800
13542,32,79777,17400
12792,32,79779,17400
13023,32,79781,17400
12746,32,79783,17400
12495,32,79785,17400
12758,32,79788,17400
12563,32,79790,17400
12382,32,79792,17400
2729,16,80181,3600
82,1,80270,43200
2917,1,80275,43200
1566,1,80281,43200
13570,1,80870,64800
13569,1,80887,64800
9065,1,80891,64800
43160,1,80897,64800
43155,1,80902,64800
43197,1,80908,64800
5088,4,83450,10800
43194,1,83846,64800
42755,1,83862,64800
17523,1,84019,64800
42259,1,84098,64800
42338,1,84187,64800
140,4,84209,64800
25379,1,84258,64800
41900,1,84358,64800
41894,1,84449,64800
39611,16,85188,64800
15079,1,87143,64800
15207,1,87547,64800
15162,1,87618,64800
15263,1,87673,64800
15211,1,87723,64800
16856,1,88370,64800
17720,1,88446,64800
17689,1,88500,64800
17265,1,88542,64800
26568,1,88566,64800
26517,1,89115,64800
26460,1,89153,64800
24751,1,89194,64800
21966,1,89226,64800
20316,1,89389,64800
19460,1,89455,64800
19454,1,89492,64800
16510,1,89526,64800
162,32,90100,7200
464,16,90321,3600
58,4,91171,21600
238,6,91495,28800
13584,1,92896,36000
12006,1,93015,36000
11682,1,95533,36000
